Mkt_RF,SMB,HML,RMW,CMA,RF,Date,month,MOM,LT_Rev
0.0063,-0.0256999999999999,-0.0012,0.0242,0.0285,0.0034999999999999,2023-04-30,2023-04,0.0176,-0.0038
0.0033,-0.0043,-0.0779,-0.0178,-0.0708,0.0036,2023-05-31,2023-05,-0.0088,-0.0407
0.0646,0.0128,-0.0013,0.0232,-0.0154,0.004,2023-06-30,2023-06,-0.0269,-0.0007000000000000001
0.0321,0.0286,0.0406,-0.0059,0.0066,0.0045,2023-07-31,2023-07,-0.0406,0.0334
-0.0236,-0.0365,-0.0115,0.0335,-0.0241,0.0045,2023-08-31,2023-08,0.0378,-0.0246
-0.0523,-0.0178,0.0149,0.0187,-0.0077,0.0043,2023-09-30,2023-09,0.0033,0.0022
-0.0315,-0.0403,0.002,0.0241,-0.0069,0.0046999999999999,2023-10-31,2023-10,0.0167,-0.019
0.0888,-0.002,0.0167,-0.0373,-0.0108,0.0044,2023-11-30,2023-11,0.0256,0.0091
0.0486,0.0727,0.0489,-0.0297,0.0129,0.0043,2023-12-31,2023-12,-0.0553,0.0026
0.0073,-0.0572,-0.0237999999999999,0.0067,-0.0097,0.0046999999999999,2024-01-31,2024-01,0.0542,0.0073
0.0507,-0.0081999999999999,-0.0343,-0.0206,-0.0217,0.0042,2024-02-29,2024-02,0.049,0.0055000000000000005
0.0283999999999999,-0.0121,0.0416,0.0133,0.0113999999999999,0.0043,2024-03-31,2024-03,-0.0032,0.0009
-0.0465,-0.0259,-0.0045,0.0113999999999999,-0.0031,0.0046999999999999,2024-04-30,2024-04,-0.0043,-0.022400000000000003
0.0432,0.0059,-0.0131,0.0317,-0.0285,0.0044,2024-05-31,2024-05,-0.0016,-0.0231
0.0279999999999999,-0.0432,-0.0336,0.0056,-0.018,0.0040999999999999,2024-06-30,2024-06,0.0085,-0.023
0.0121999999999999,0.0834,0.0562,0.0026,0.0028,0.0045,2024-07-31,2024-07,-0.0235,0.0172
0.0161,-0.0355,-0.011,0.0076,0.0081999999999999,0.0048,2024-08-31,2024-08,0.0481,0.0070999999999999995
0.0173,-0.0092,-0.0276,0.002,-0.0029,0.004,2024-09-30,2024-09,-0.0062,-0.0025
-0.01,-0.0089,0.0086,-0.0148,0.0098,0.0039,2024-10-31,2024-10,0.03,0.0182
0.0649,0.0458999999999999,0.0015,-0.0231,-0.0204999999999999,0.004,2024-11-30,2024-11,0.01,0.0069
-0.0315,-0.0383,-0.03,0.0189,-0.0121,0.0037,2024-12-31,2024-12,-0.003,-0.016399999999999998
0.0279999999999999,-0.0123,0.0163,-0.0235,-0.0324,0.0037,2025-01-31,2025-01,0.0096,0.0128
-0.0243,-0.0491,0.0491,0.0108,0.0306,0.0033,2025-02-28,2025-02,-0.0081,0.0248
-0.0639,-0.0149,0.0289999999999999,0.0210999999999999,-0.0046999999999999,0.0034,2025-03-31,2025-03,-0.0283999999999999,0.0179
-0.0084,-0.0186,-0.034,-0.0285,-0.0266999999999999,0.0034999999999999,2025-04-30,2025-04,0.0496999999999999,-0.0127
0.0605999999999999,-0.0072,-0.0288,0.0129,0.0250999999999999,0.0038,2025-05-31,2025-05,0.0220999999999999,-0.0391
0.0486,-0.0002,-0.0161,-0.032,0.0144,0.0034,2025-06-30,2025-06,-0.0264,-0.0391
0.0197999999999999,-0.0015,-0.0127,-0.0031,-0.0207,0.0034,2025-07-31,2025-07,-0.0097,-0.04190000000000001
0.0185,0.0487999999999999,0.0441999999999999,-0.0068,0.0208,0.0038,2025-08-31,2025-08,-0.0354,0.0246
0.0339,-0.0218,-0.0105,-0.0206,-0.0222,0.0033,2025-09-30,2025-09,0.0463,-0.0355
0.0196,-0.013,-0.031,-0.0521,-0.0403,0.0037,2025-10-31,2025-10,0.0027,0.001
-0.0013,0.0147,0.0375999999999999,0.0141999999999999,0.0068,0.003,2025-11-30,2025-11,-0.018,0.0179
-0.0036,-0.0022,0.0242,0.004,0.0037,0.0034,2025-12-31,2025-12,-0.024,-0.0036
